date,close,cash,shares,position_value,equity
2024-02-15,697.0,1000000.0,0,0.0,1000000.0
2024-02-16,683.0,1000000.0,0,0.0,1000000.0
2024-02-19,678.0,1000000.0,0,0.0,1000000.0
2024-02-20,687.0,1000000.0,0,0.0,1000000.0
2024-02-21,681.0,1000000.0,0,0.0,1000000.0
2024-02-22,692.0,1000000.0,0,0.0,1000000.0
2024-02-23,697.0,1000000.0,0,0.0,1000000.0
2024-02-26,698.0,1000000.0,0,0.0,1000000.0
2024-02-27,698.0,1000000.0,0,0.0,1000000.0
2024-02-29,690.0,1000000.0,0,0.0,1000000.0
2024-03-01,689.0,1000000.0,0,0.0,1000000.0
2024-03-04,725.0,1000000.0,0,0.0,1000000.0
2024-03-05,730.0,1000000.0,0,0.0,1000000.0
2024-03-06,735.0,1000000.0,0,0.0,1000000.0
2024-03-07,760.0,1000000.0,0,0.0,1000000.0
2024-03-08,784.0,1000000.0,0,0.0,1000000.0
2024-03-11,766.0,1000000.0,0,0.0,1000000.0
2024-03-12,770.0,1000000.0,0,0.0,1000000.0
2024-03-13,779.0,1000000.0,0,0.0,1000000.0
2024-03-14,784.0,1000000.0,0,0.0,1000000.0
2024-03-15,753.0,1000000.0,0,0.0,1000000.0
2024-03-18,764.0,1000000.0,0,0.0,1000000.0
2024-03-19,762.0,1000000.0,0,0.0,1000000.0
2024-03-20,758.0,1000000.0,0,0.0,1000000.0
2024-03-21,784.0,1000000.0,0,0.0,1000000.0
2024-03-22,785.0,1000000.0,0,0.0,1000000.0
2024-03-25,780.0,1000000.0,0,0.0,1000000.0
2024-03-26,782.0,1000000.0,0,0.0,1000000.0
2024-03-27,779.0,1000000.0,0,0.0,1000000.0
2024-03-28,769.0,1000000.0,0,0.0,1000000.0
2024-03-29,776.0,1000000.0,0,0.0,1000000.0
2024-04-01,770.0,1000000.0,0,0.0,1000000.0
2024-04-02,790.0,1000000.0,0,0.0,1000000.0
2024-04-03,780.0,1000000.0,0,0.0,1000000.0
2024-04-08,783.0,1000000.0,0,0.0,1000000.0
